,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
996,GENSHIN IMPACT,"HONKAI STAR RAIL, DETECTIVE CONAN, OMNISCIENT READER'S VIEWPOINT, TOWER OF GOD",Nemui(n duit amin),K-45ab (SUN),CF17,,https://instagram.com/cama.tohru,https://twitter.com/karagechopstic,,,RE
1006,HONKAI STAR RAIL,"JUJUTSU KAISEN, GENSHIN, TEARS OF THEMIS, SKIP AND LOAFER, KPOP (AESPA, RED VELVET, NCT DREAM)",siso studio,K-49b (SAT),CF17,,https://instagram.com/sisoseu,https://twitter.com/nebacs,https://linktr.ee/by.dahel,,RE
1007,HONKAI STAR RAIL,"GENSHIN IMPACT, OMNISCIENT READER'S VIEWPOINT, ENSEMBLE STARS, VTUBER, OSHI NO KO, IDENTITY V, RESIDENT EVIL",Obat Gatel Ke Husbu,K-50ab (SAT),CF17,https://www.facebook.com/canuwu.canuwu,https://instagram.com/ruminome,https://twitter.com/veviphany,,,RE
1009,"HOYOVERSE (GENSHIN IMPACT, HONKAI: STARRAIL)","VTUBERS (NIJISANJI, HOLOPRO, PLAVE, INDIE), ORV, ONE PIECE, TOKYO REVENGERS, VALORANT, GUNDAM",INKOFI,K-51ab (SAT),CF17,,https://www.instagram.com/inkofico/,https://twitter.com/inkofico,,,RE
1012,HONKAI STAR RAIL,"GENSHIN IMPACT, BOCCHI THE ROCK,BANG DREAM, SHE-RA THE PRINCESS OF POWER, BTS, VOCALOID",Shinkai,K-52ab (SAT),CF17,,,,,,RE
1013,HONKAI STAR RAIL,"GENSHIN IMPACT, ONE PIECE, NIJISANJI, JUJUTSU KAISEN, ENSTARS, REVERSE 1999, SOUSOU NO FRIEREN",JANU,K-52b (SUN),CF17,,https://instagram.com/tsukuyomi_haruhi?igshid=ZDc4ODBmNjlmNQ==,https://x.com/Haruka50411906?t=lHgYaa9rsCTxfbOVmq9iPg&s=09,,,RE
1014,HONKAI STAR RAIL,"ARIA, FRIEREN, ZELDA",Neo-Aria-Company!,K-53a (SUN),CF17,,https://www.instagram.com/tsugeruru,twitter.com/tsugeruru,,,RE
1017,HONKAI STAR RAIL,"GENSHIN IMPACT, TOUKEN RANBU, TWISTED WONDERLAND, ONMYOJI, THE GREAT ACE ATTORNEY, SEVENTEEN, ORIGINAL CHARACTER, GEMINIFOURTH",KOMASH Jaya,K-54a (SUN),CF17,,,https://twitter.com/korban__oshi,,,RE
1024,HONKAI STAR RAIL,"PATH TO NOWHERE, GENSHIN IMPACT, BLUE LOCK, HONKAI IMPACT 3RD, AZUR LANE",Trashcan,L-01a (SUN),CF17,,,https://twitter.com/aiwairanai,,,RE
1047,STRAY KIDS,"OMNISCIENT READER'S VIEWPOINT, TRIGUN, SPIDERVERSE, FULL METAL ALCHEMIST, GOOD OMENS, TEARS OF THEMIS, TAYLOR SWIFT, WOODZ, PIKMIN,",Pekobers,L-12ab (SAT)/L-13ab (SAT),CF17,,https://www.instagram.com/awuruu/,https://twitter.com/areuwuu?s=2,https://linktr.ee/pekobers,,RE
1057,SEVENTEEN,"BTS, SEVENTEEN, NCT, DREAMCATCHER, THE BOYZ, AESPA, LE SSERAFIM, NEW JEANS, TXT, IVE, GIDLE, ENHYPEN, WEAK HERO, 2521, ORIGINAL ART",Sangpum Mart,L-20ab,CF17,,"https://instagram.com/asoftstarlight, https://instagram.com/jipartsy, https://instagram.com/cwittea, https://instagram.com/icycho.co",,,,RE
